actual_stars,predicted_stars,explanation,review
4,4,"Generally positive experience with good food, friendly service, and quality drinks. While acknowledging it was slow during a late visit, the reviewer highlights its strengths and adds a positive update about the patio.","We got here around midnight last Friday... the place was dead. However, they were still serving food..."
5,5,"Extremely positive feedback, especially a strong endorsement from someone from Louisiana regarding a Louisiana specialty. Highly enthusiastic.",Brought a friend from Louisiana here.  She says that the crawfish etouffee here is the best she's ha...
3,4,"Positive sentiment expressed ('good', 'filling', 'hits the spot') and indicates repeat business, though tempered by 'typical' which suggests it's not exceptional.","Every friday, my dad and I eat here. We order the same thing... pizza wraps. they are good and filln..."
1,1,"Extremely negative experience detailed, highlighting a significant overcharge and perceived dishonesty. The reviewer expresses strong disappointment and loss of future business.","My husband and I were really, really disappointed with our experience at Coulter Infiniti.  We broug..."
5,5,"Extremely positive language, repeated visits, and enthusiastic recommendation indicate a 5-star experience.",Love this place!  Was in phoenix 3 weeks for work.  Ate here 3 times.  The squid salad is amazing!  ...
4,4,"Overall positive review highlighting good location, price, free parking and cleanliness. Minor negatives (bathroom noise) are acknowledged but don't significantly detract from the positive experience, and the reviewer states they would stay again.","This hotel is in a good location for getting to the sports venues downtown, the convention center or..."
4,4,"Very positive comments about the food quality and variety, especially the seafood and sushi. While service is acknowledged as inconsistent, a positive service experience is also detailed. The late-night hours are a significant plus. Overall, the strong food praise outweighs the service concerns.",I love that this place has top seafood plates and choices. The services is hit and miss but once i w...
4,5,"Enthusiastic and positive language with repeated emphasis ('Awesome', 'awesomer'). Clearly expresses strong enjoyment.",Awesome if you like ramen...even awesomer if you like boba tea!!!
5,5,"Highly positive language, multiple compliments (food, seating, portions), and expresses a strong preference ('favorite place').","Great place for a ""home office"" morning. One of my favorite places - indoor & outdoor seating. Alway..."
1,1,"Strongly negative experience with consistently poor food quality (very little meat) despite multiple attempts, coupled with a definitive statement of not returning.","1 star for service, but the food is not ok :( they literally put 4 pieces of chicken on my taco. I l..."
4,4,"Positive comments about food quality, service (handling a large group with no wait), and value (reasonable price for the group size). Specific highlights are mentioned.",Good food and able to manage a large group easily. Our party had 11 and there wasn't a long wait at ...
5,5,"Extremely positive language throughout, multiple mentions of 'great', highlights accommodating staff and good value, and ends with a strong overall positive assessment.","This place is great!
If you talk to anybody they have a suggestion for a great flavor.
You can bring..."
3,5,Enthusiastic and positive exclamation about a highly desirable product (Air Jordans) implies strong satisfaction.,Air Jordan! need I say more?
4,4,"The review is overwhelmingly positive, detailing numerous conveniences and benefits of this Fry's location. While there's a minor caution about the deli staff, it's presented with understanding and doesn't significantly detract from the overall positive experience. The detailed and thoughtful nature of the review suggests high satisfaction.",There are many other reviews which extol the virtues of this location. I just wanted to add some of ...
5,5,Extremely positive experience with exceptional customer service; expresses gratitude and intent to refer.,TJ was there for me when my water heater broke and started flooding my garage.  He walked me through...
2,3,"The review is mixed. While the burger itself is deemed 'okay', significant negatives are expressed regarding price and side dishes. Overall, it leans towards a neutral experience.","So I was pretty excited about this burger joint opening since it's President Obama's favorite... 
Th..."
4,3,"The review is mixed. The customer acknowledges the quality but feels uncomfortable and experienced a minor error with the registry. Overall, it's a neutral experience with slight negativity.","I really don't consider myself a Neiman's type of girl...
As a matter of fact, I don't really feel c..."
4,4,"The review is positive and informative, highlighting a helpful option for health-conscious diners. While it mentions the high calorie count of the regular burger, it frames the 'petite' option as a solution, indicating satisfaction.","I have been trying to reduce my caloric intake and found out that at Red Robin you can order a ""peti..."
5,5,"Enthusiastic language (""Great"", ""awesome"", ""must have"") and clear positive sentiment towards the food.",Great pizza and awesome must have guacamole pizza appitizer!!!!
5,4,"The review is generally positive, highlighting convenience and speed. While it notes the limited airline options, it doesn't express significant dissatisfaction, and the overall tone is appreciative of the efficient experience.",This is a quaint little airport which is very convenient if you are travelling to the Tempe/Mesa are...
5,4,Overwhelmingly positive review with enthusiastic language about the burger. Minor criticisms about cups and drink sizes don't significantly detract from the overall experience.,Headed back to Lobby's. How I missed this tasty burger. I wasn't disappointed with round 2. The burg...
5,5,"Extremely positive review highlighting consistently excellent food, friendly service, and great value. While acknowledging the casual atmosphere, the reviewer strongly recommends it and calls it a 'gem'.",Simple but really great cajun food prepared in steamers right in front of you.  Selections include g...
1,1,"Overwhelmingly negative experience with multiple issues: rude staff, hidden pricing, overpriced activities, uncomfortable temperature, and malfunctioning equipment. Strong statement of not returning.","Staff was very rude, bowling prices weren't displayed to the best of their ability, extreme bowling ..."
4,4,"The review is overwhelmingly positive, highlighting exceptional staff helpfulness and a fantastic pool area. While there are minor negatives (room noise, slightly salty food), the positives significantly outweigh them, and the overall tone is very appreciative.",The staff is really helpful.  I arrived without credit card due to a travel mishap and they were gre...
4,5,"The review is overwhelmingly positive, highlighting fresh, hot food, friendly service, and a pleasant experience. The author explicitly states they will return and thanks the restaurant and other Yelpers.","Someone asked the question in the Yelp talk threads where the best place was for fried things, like ..."
4,4,"The review is overwhelmingly positive, praising the food quality (pork, sauce, horchata) and value. While they didn't get burritos, they were still 'fully satisfied', indicating a very good experience.","After browsing at the Bookman's next door, we were feeling hungry and were tempted by the notion of ..."
1,2,"Negative comment about pricing, but not overly emotional or comprehensive. Suggests dissatisfaction but doesn't indicate a completely terrible experience.",Prices are often way too high!
4,4,"The review is largely positive, highlighting good value, fast service, and tasty food (especially the specials). While there are minor complaints about drink pricing, the overall tone is enthusiastic and exceeds expectations. It's not a perfect 5-star experience, but definitely above average.",I have been to this place twice so far.  The first time I had no idea what to expect since I never h...
2,2,"Mixed review with significant negatives (saw out of service, higher prices) outweighing the positives (nice garden department, short checkout). The 'Meh' summarizes a generally unenthusiastic experience.","The wood saw is always out of service...
The garden department is nice, but the staff is a little st..."
2,2,"The review details extremely poor service with significant delays and unprofessional behavior, despite acknowledging the food quality was decent. The lack of compensation further detracts from the experience, leading to a low rating despite some positives.",I've never been to a restaurant where we (a party of 6 with a reservation) sat at a cleared table wi...
1,1,"Extremely negative review detailing multiple issues with each dish, culminating in a strong statement of not returning and recommending others avoid it. The use of words like ""bland"", ""non existent"", ""dry"", ""blah"", and ""very disappointed"" clearly indicate a very poor experience.","My wife and I live around the corner, hadn't eaten here in a few months. We got food for take out, M..."
1,2,"The review is overwhelmingly negative, detailing a frustrating and confusing experience. While humorous in tone, the author expresses strong dissatisfaction and vows to never return. The numerous issues encountered (no pay-at-pump, strange machine, rubber nozzle, no receipt) contribute to a very poor customer experience.","Ok, so I have to share my morning experience. But first I must start off by saying this: I'm no moro..."
3,4,"Mostly positive comments about the food quality, despite some minor criticisms. The reviewer explicitly states they will return, indicating a positive overall experience.","Found this place by accident.  Not the greatest location.

The pulled pork rates about an 8 on my sc..."
4,5,"The review is overwhelmingly positive and enthusiastic, filled with playful language and specific praise for the food and atmosphere. Despite some minor observations about the clientele, the overall tone is highly favorable and recommends the store.",I'm a little bit country. I'm a little bit rock n roll...thank you Donny and Marie. Pinnacle Peak Ge...
5,5,"Extremely positive review highlighting cleanliness, efficiency, friendly staff, and food freshness. Enthusiastic recommendation and comparison to negative experiences at other locations.","This subway is one of the cleanest, and most efficient subways I have EVER been to.  I've only been ..."
5,5,"Extremely positive review highlighting a friendly atmosphere, skilled artists, and a comfortable experience. Strong recommendation provided.",I agree with the other reviewers.. Ink bomb is definitely a shop that has a family vibe. All the tat...
5,5,"Extremely positive language, superlative praise ('best ever'), and detailed positive description of the food. Expresses regret at not being able to visit more often.","Simply the best sandwiches I have ever tasted.

The Mozarella, Tomato, Basil is perfect. The focacci..."
5,4,"Generally positive experience with specific dishes highly enjoyed. Some minor complaints about portion size and one disliked dish, but overall enthusiastic and expresses intent to return.","Went here today Sunday about 8:50 and it was crowded but not to bad, about 1/2 hour wait. Im warning..."
4,4,"Mostly positive review with specific praise for the BBQ, root beer, and beans. Minor criticisms (ordering style, ribs needing sauce, dad's coleslaw opinion) don't significantly detract from the overall positive experience. The mention of a long line suggests popularity.","Great BBQ, although not a huge fan of the cafeteria style ordering. I have been twice, I got the bri..."
2,1,Strongly negative sentiment expressed through the statement of wasted money and definitive rejection ('never again').,Well I just wasted 38 bucks....never again
3,2,"The review is overwhelmingly negative despite acknowledging good service. The author repeatedly compares the food unfavorably to other restaurants and finds everything 'mediocre' and 'overpriced'. While not aggressively angry, the consistent disappointment and numerous specific criticisms point to a 2-star experience.","While staying at The Pointe Hilton Tapatio, we decided to eat here for our anniversary dinner. To su..."
1,2,"While the service was good, the overwhelmingly negative experience with the food quality, value, and uncomfortable dining environment heavily outweigh the positive. The reviewer expresses strong disappointment and explicitly states they 'have had it with this place', indicating a very low overall satisfaction.","I've eaten here many times, but none as bad as last night.
Service was excellent, and highly attenti..."
1,2,"The review is overwhelmingly negative, using disturbing and highly critical comparisons. While acknowledging some potential appeal for those under 21 or new to the club scene, the overall tone is deeply unfavorable and expresses strong discomfort with the establishment.",Some of my friends brought me here last night and the first thing that came into my mind was that th...
3,3,"The review is a humorous recounting of getting lost, with strong emotional language but ultimately a positive outcome due to a helpful stranger. It's a memorable experience, but not necessarily a negative one overall, leaning towards neutral with a touch of amusement.","Uh-oh. Where am I? 

The view from atop the mountain is superb. The city can be seen in all directio..."
4,5,"Extremely positive language throughout, enthusiastic descriptions of food and service, and a strong recommendation despite acknowledging a higher price point. Multiple positive aspects are highlighted.","Mmmmm, Mmmmmm, Great food.  The popcorn shrimp here are to die for-they leave a wonderful lasting im..."
4,5,"Extremely positive review with enthusiastic language, highlighting excellent food, friendly staff, and great value. The customer is very happy and specifically recommends it.","Decor  functional 
Staff friendly and are really kind to our toddler
food rocks  within my  limited ..."
4,4,"Generally positive experience. The reviewer appreciated the store's organization, friendly staff, and selection, even though they didn't find their initial desired item. Minor price concerns are offset by coupons. Expresses intent to return.","I was looking for a comforter for my new bed when I realized that this B,B, and B was close by so I ..."
5,5,"Extremely positive language, enthusiastic praise for the food (specifically the crab salad), and a strong recommendation. The reviewer goes into detail about what they liked, indicating a very satisfying experience.",I had lunch today at CASK 63 with a banker to discuss our collective power to create business in the...
4,5,"The review is overwhelmingly positive, detailing a very satisfying experience with the food quality, portion sizes, and price. The author went in with expectations based on a sushi enthusiast's high standards and was very pleased. Minor comments about the interior are overshadowed by strong praise.","While I'm a sushi fan, my husband is a sushi FIEND - we made biweekly trips to his favorite haunt in..."
1,1,"Extremely negative experience detailed with significant consequences (lost money, missed class). Strong negative language (""WORST TAXI SERVICE EVER"") and clear frustration are present.","If you have to be some place on time, don't use them.  I called at 2pm for a 4:15 taxi to arrive.  A..."
1,1,Extremely negative review detailing multiple food quality issues and a clear preference for a competitor (Panda Express). The language is strongly critical and expresses disappointment after repeated attempts.,When owners/staff changed we kept hoping for the best.  (The friendly owners/cooks of the previous r...
3,3,"The review expresses a preference for Waffle House over Denny's, which is positive, but qualifies it as 'okay' and 'not the best'. It's a lukewarm recommendation indicating a neutral overall experience.",I like it better then Denny's so I stop on by to get some breakfast. It's okay not the best place in...
4,4,"Highly positive experience focused on the unique atmosphere and entertainment value. Food is described as 'fairly decent' and 'good', with enthusiasm for the overall experience.","Neat!!!!!!!!!!!!!!!!

This place is like a trip to a non-petting zoo and aquarium and aviary while y..."
4,4,"Generally positive review. Acknowledges a minor flaw (shabby decor) but emphasizes consistent quality, good food, reasonable prices, and helpful staff. The overall tone is positive and recommends the place.","I've been going to this place for years, and they have always stayed true to their own style.  The p..."
4,4,"The review is largely positive, with specific praise for the beer selection, beer mixology education, and a unique check-in deal. While the food is rated as average, the overall experience seems highly enjoyable, justifying a 4-star rating.","Beer is almost a 4, food is a 3, service was a 4.5.  + Check in deal makes it a 5.  Add that up and ..."
3,3,"Mixed review with both positive (layout, view, supporting local business) and negative (price, drink selection, potential concept issues) aspects. Ultimately expresses a desire for improvements before returning, indicating a neutral stance.","I love the layout of this outdoor bar. However, the price of drinks here and the lack of well option..."
5,5,"Overwhelmingly positive review with enthusiastic language about the food, atmosphere, and service, despite a minor initial drink error that was even viewed positively. Strong recommendation and intention to return.","The waiter got the drink wrong: ""up"" means served strained without ice, not on the rocks, but I was ..."
5,5,"Extremely positive language, enthusiastic expression of love for the product, and a stated intention to return indicate a 5-star experience.",I am in love with Yogurtland fro yo!!  It is super delicious and inexpensive!!  I got the coconut an...
5,5,"Extremely positive language, expresses repeated satisfaction, highlights a favorite dish, and praises the service and staff friendliness.",I found this restaurant when they were located in Buckeye. I have tried everything on the menu proba...
1,2,"The review expresses significant disappointment with a decline in quality and service compared to past experiences. While not overtly hostile, the multiple complaints about price increases, portion sizes, lack of assistance, and poor tea service indicate a negative experience.",We use to visit this Pub 10 years ago because they had a nice English waitress and excellent fish an...
2,1,"Multiple negative experiences (closed despite stated hours, no one present), leading to wasted time and frustration. The reviewer clearly didn't receive the service they sought.",Writing my 7/29/11 review prompted me to return to this establishment for a manicure. I got there at...
2,2,"Multiple criticisms regarding food quality (under seasoned, store-bought tortillas) and a stated intention not to return indicate a negative experience, but it's not overwhelmingly harsh.",This place is way under seasoned.  The beans were ok.  I hate that they use store bought tortillas. ...
4,4,"Overall positive experience, highlighting fun atmosphere and good service despite acknowledging some facility issues. The reviewer explicitly states they had a good time on both visits.","If you appreciate a good dive bar, you will love this place!  We came here for the first time when o..."
3,3,"The review is largely neutral. It acknowledges Target's consistency but expresses mild disappointment given the location. The parking complaint is a negative, but doesn't outweigh the overall tone.",As Target's go this one is standard fare. That consistency is part of their brand recognition. Howev...
4,4,"The review is overwhelmingly positive regarding the food and price, but explicitly states a deduction of one star due to the cleanliness of the dining area. The author references another reviewer confirming this rating rationale.","Let's rewind four years:

""You've never been to Chino Bandido?""
""No, what is it?""
""How long have you..."
2,2,"The review is largely negative, despite some minor positives (cool concept, great crust). It expresses disappointment and criticizes the food's quality and execution, using phrases like ""lacking soul"" and comparing it unfavorably to expectations. While not a complete disaster (better than Pizza Hut), it falls far short of positive.","Ahh man,
.....I REALLY wanted this to be good.

But honestly, you end up with something that's more ..."
5,5,"Extremely positive language, enthusiastic praise for multiple dishes, and a clear intention to return make this a 5-star review.",WOW what can I say... our friends have eaten here for years and we finally got to eat at Don and Cha...
5,5,"Extremely positive language (""Favorite Pho"", ""Great, tender meat"", ""Nom nom""), enthusiastic tone, and a clear intention to return.","Favorite Pho in the phoenix area so far.  
Great, tender meat in my pho chin nam (#8).
I see they al..."
2,2,"Negative sentiment expressed with specific complaints about food quality (dressing and tomatoes). 'Wasn't impressed' indicates dissatisfaction, but isn't overly harsh.",Wasn't impressed. Dressing tasted like a store bought bottle dressing and tomatoes very very mushy.
4,4,"Overwhelmingly positive experience with only a minor dislike (calamari). Enthusiastic language, multiple positive mentions (atmosphere, apps, service, specific items), and a stated intention to return.",This review is specifically for my experience at Trader Vic's last night (a Saturday night) for Happ...
3,3,"The review is mixed. While praising the veggie sandwich, it acknowledges slow service due to limited staff. The overall tone is neutral and practical, suggesting an average experience.","I'm giving the 3 stars solely for 1 reason: 
The veggie sandwich! 

There's normally only 1 person w..."
2,2,"The review expresses significant disappointment with a decline in quality over time, despite a positive past experience. The sarcastic name suggestion reinforces a negative sentiment, though it acknowledges a previous positive experience preventing a 1-star rating.","Years ago, and I do mean years ago, their Mill Avenue location in Tempe, was outstanding.

As they e..."
5,4,"The review is overwhelmingly positive, praising the food, originality, and customer service. While acknowledging the small interior, it's presented as a minor drawback. The detailed description and recommendation of specific items contribute to a strong positive sentiment.",Really?  Because it doesn't get any better than this.  For what it is and for what it's worth this p...
4,5,"Extremely positive language throughout, multiple enthusiastic endorsements (bartender, jukebox, drag queen, price), and a clear expression of love for the place. The comparison to another good bar is positive framing.","Oz is a great local bar and a nice change from the bumping Charlie's (which, don't get me wrong, is ..."
3,3,"Mixed review. Positive about atmosphere and service, but negative about steak value and lack of included side. Ultimately expresses unlikely return.","Love the atmosphere and how trendy rhus place is, reminds me of Nip/tuck kinda, the way they have it..."
5,5,"Extremely positive language, highlights convenience and community benefit, and praises the staff.",I dropped off a ton of things here when I was liquidating my life in this town and it was a terrific...
2,2,"The review expresses significant frustration with billing errors despite a stated convenience. The tone is negative and includes a 'fair warning', outweighing the convenience factor.","I ALWAYS pay in cash at this Panda's. If it wasn't across the street from work, I wouldn't go here a..."
5,5,"Strongly positive language ('love love', 'amazing', 'cute', 'artsy') indicates a highly favorable experience.",I love love Barrio Cafe. The food is amazing and it is very cute and artsy.
3,4,"Overall positive experience with some specific criticisms. The reviewer enjoyed multiple dishes and plans to return, despite one taco being bland.",La Condesa is in a rather unassuming location in Phoenix.  But has a nice atmosphere when you get in...
